Customer_ID,Name,City,Contact_Number,Email,Gender,Address
C001,Tara Krishnan,Panchkula,9.17194E+11,mandrati@chad.org,Female,"65/04
Dhawan Marg, Rajpur Sonarpur 590551"
C002,Myra Edwin,Bulandshahr,8915420519,yshukla@hotmail.com,Female,"H.No. 78
Sharaf Ganj
Indore 928261"
C003,Jayesh Lanka,Bilaspur,7400208126,kavyabarad@hotmail.com,Male,"H.No. 53, Krishna Ganj, Dhule-346480"
C004,Tarini Bava,Miryalaguda,7232349928,vsen@hotmail.com,Male,"145
Sibal, Rourkela-650344"
C005,Hiran Kaul,Kottayam,2207644242,hanshkapur@buch.biz,Male,"34/168
Sachar Street
Bhatpara 002691"
C006,Rania Mann,Karimnagar,9.19364E+11,evaswamy@biswas-sekhon.com,Female,"15/89, Dayal Chowk, Rohtak 586046"
C007,Jayant Kamdar,Berhampore,9.18577E+11,pcontractor@hotmail.com,Male,"H.No. 501
Goswami Path, Bhilwara 482554"
C008,Veer Ray,Chinsurah,7138085704,uthkarshjohal@yahoo.com,Female,"H.No. 589, Gala Circle, Nandyal-774484"
C009,Ritvik Borah,Madurai,1336765676,daliajivika@yahoo.com,Female,"28/64
Lanka Marg, Ramgarh 141634"
C010,Darshit Dave,Kanpur,1608833065,fateh26@hotmail.com,Male,"H.No. 21
Singhal Path
Hindupur 170985"
C011,Lagan Kapoor,Orai,9.16174E+11,rsidhu@gmail.com,Female,"53/710, Tailor Ganj, Gorakhpur-030540"
C012,Onkar Mangat,Bilaspur,9.19921E+11,oorjabassi@wali.com,Male,"H.No. 460, Sankar Ganj
Tadipatri 227246"
C013,Manikya Goswami,Mangalore,9.12113E+11,settytara@gmail.com,Female,"382, Banerjee Ganj
Patna 002103"
C014,Indrans Shukla,Panvel,2717671919,rajagopalfateh@dhingra.info,Female,"67/61, Balan Nagar
Dehri-162882"
C015,Romil Bajwa,Kolkata,9.18664E+11,taimurkashyap@halder.com,Female,"890, Sathe Circle
Moradabad 800838"
C016,Amani Ganesh,Tenali,8482992702,sumerkaur@yahoo.com,Male,"667
Som Marg
Rajkot 238865"
C017,Advika Dhar,Gangtok,9.12739E+11,pmaster@deol.com,Male,"80/81, Varghese Chowk, Bidhannagar-928710"
C018,Eva Vaidya,Nizamabad,9.1908E+11,drishya20@kapadia.com,Male,"34/29
Manne Circle, Ahmedabad 929297"
C019,Amira Sengupta,Danapur,9.14513E+11,purab20@dhar.com,Male,"77
Dass Street
Sasaram-948992"
C020,Samaira Ganesh,Machilipatnam,1731643700,golesana@varty-gill.com,Male,"12, Khosla Chowk
Gopalpur-059682"
C021,Siya Talwar,Mehsana,9.15555E+11,hsunder@raman.info,Male,"H.No. 617, Brahmbhatt Path, Madanapalle-879728"
C022,Ivana Rout,Khandwa,9.13112E+11,adhar@yahoo.com,Male,"24
Babu Nagar, Khammam 703294"
C023,Abram Sandhu,Bidhannagar,7196287267,sibalnitya@bhasin.net,Male,"H.No. 13
Lad Road
Bhiwandi 874382"
C024,Jhanvi Chowdhury,Kavali,9.10317E+11,magarvardaniya@biswas.com,Female,"827, Shere Nagar, Mangalore 084058"
C025,Ira Bava,Singrauli,9.17406E+11,rastogizain@yahoo.com,Female,"13/846, Bajaj Road, Nangloi Jat-882740"
C026,Ira Chahal,Farrukhabad,9.18716E+11,ayeshathakkar@yahoo.com,Female,"37, Bhasin Path, Deoghar-816439"
C027,Kashvi Sur,Serampore,3431035116,edwinkeya@gmail.com,Female,"34, Sanghvi Path
Sikar 774265"
C028,Hridaan Rajagopalan,Noida,2539728317,indrans49@thaman-chopra.net,Female,"01, Kapur Road, Agra-329913"
C029,Badal Sathe,Haridwar,9.12454E+11,lavanya23@yahoo.com,Female,"H.No. 78, Suresh, Hapur-924072"
C030,Vardaniya Contractor,Sambhal,9972300876,choprakavya@dugar.org,Male,"H.No. 904
Dave Zila
Pimpri-Chinchwad 244227"
C031,Madhup Wable,Sasaram,135745753,priyansh11@dua-tella.com,Female,"H.No. 69
Shere
Durgapur 474507"
C032,Mannat Anand,Surat,1611365500,advika02@gmail.com,Male,"81/76, Khanna Nagar, Vasai-Virar-913106"
C033,Suhana Kurian,Indore,5713958095,nbains@hotmail.com,Female,"56/734, Som Marg
Bhimavaram 598548"
C034,Hridaan Sood,Bhatpara,6652710577,drishyabalan@yahoo.com,Male,"H.No. 60, Deep Street
Phusro 320629"
C035,Ira Sarna,Vellore,9.169E+11,zben@cherian.org,Male,"63, Baria Circle
Siliguri 399443"
C036,Biju Bajwa,Dibrugarh,9.18722E+11,choudhryrohan@hotmail.com,Female,"373
Ganguly Street, Kurnool 041608"
C037,Aradhya Kumar,Davanagere,1972392634,faiyaz10@yahoo.com,Male,"123, Sagar Road
Dharmavaram-048740"
C038,Yakshit Shah,Aizawl,2847411902,kthaker@gmail.com,Female,"H.No. 77
Kalita Circle, Muzaffarnagar-768793"
C039,Kaira Bahl,Kamarhati,9.18805E+11,keerzara@deshpande-sandhu.net,Male,"318
Chokshi Road, Miryalaguda-997025"
C040,Hazel Mangat,Pallavaram,9.18811E+11,aarnakrishna@chokshi.org,Female,"H.No. 07
Lad Ganj, Jaipur-750706"
C041,Rati Dhingra,Karaikudi,625408216,nirvisekhon@yahoo.com,Male,"71/531
Kibe Circle, Indore-971559"
C042,Eshani Sharma,Ajmer,9.16843E+11,waliavaibhav@yahoo.com,Male,"85/523
Raval Path, Bhind-188340"
C043,Yasmin Sheth,Vellore,2544865070,aliavasa@chakraborty-koshy.com,Female,"80
Vala Ganj, Dindigul-437862"
C044,Seher Mann,Agra,9843970658,vardaniyakaran@krishnamurthy.com,Male,"H.No. 146, Ram Chowk
Meerut-776118"
C045,Divit Mahajan,Maheshtala,6789522856,krishchoudhury@kakar.com,Female,"25/685, Kannan Street, Erode-345276"
C046,Tara Kannan,Guna,9.17543E+11,madanheer@gmail.com,Male,"H.No. 26
Khurana, Kharagpur-183176"
C047,Bhamini Ravi,Jorhat,9.10798E+11,ramachandranraghav@uppal-bhandari.com,Male,"56, Tak Street, Giridih 114150"
C048,Aradhya Kale,Guntakal,7979926231,gkhanna@tripathi.biz,Male,"H.No. 60, Dhingra Marg
Jalna 036174"
C049,Aarush Balasubramanian,Imphal,1436426958,divijsheth@doshi.com,Female,"60, Loke Circle, Kadapa 528564"
C050,Chirag Srinivas,Imphal,9.11158E+11,xmand@hotmail.com,Female,"80/683
Gandhi Zila
Amravati-523734"
C051,Aradhya Batta,Kota,9.11201E+11,diyakapadia@gmail.com,Female,"25
Vaidya Street, Deoghar-807286"
C052,Vardaniya Apte,Dhanbad,5846932069,ysoman@thaman.com,Male,"H.No. 78, Tara Nagar
Narasaraopet-260778"
C053,Kismat Kapadia,Bharatpur,9.18068E+11,aniruddhbhatia@apte-ramaswamy.net,Female,"592, Sachar Circle
Thoothukudi 513426"
C054,Umang Ahuja,Bidhannagar,7271590783,saksham09@hotmail.com,Female,"06/32
Kade
Mehsana-061743"
C055,Umang Luthra,Imphal,2007986762,manikya74@bava.com,Male,"H.No. 728, Datta Chowk
Kumbakonam-380227"
C056,Pihu Choudhury,Haridwar,9732644810,dhanuksastry@yahoo.com,Male,"H.No. 029, Grover
Kadapa-492513"
C057,Zain Hegde,Delhi,8736997123,faiyazsagar@thakur-chakrabarti.com,Female,"63/17
Bal Circle
Dehradun 365978"
C058,Charvi Kanda,Guntakal,9.19772E+11,miraan05@gmail.com,Male,"25
Srinivasan Ganj, Mira-Bhayandar-341661"
C059,Nirvi Wagle,Kalyan-Dombivli,5869821393,mandalbhamini@gmail.com,Male,"77
Walla Ganj, Ambarnath-616114"
C060,Riya Wagle,Satara,214103009,veercheema@khosla.com,Male,"H.No. 775
Sha Circle
Mumbai 290110"
C061,Akarsh Ramesh,Kavali,4318554567,tsaini@johal-char.com,Female,"078, Ghose Nagar, Bikaner 211920"
C062,Inaaya  Sarraf,Nagpur,9.15915E+11,kotharilakshay@cherian.com,Male,"78/08
Dyal Ganj
Satara-877913"
C063,Arhaan Ahluwalia,Jamnagar,5287021467,pihu31@edwin-bawa.com,Male,"70/415
Sarna Road, Junagadh-305320"
C064,Indrajit Kale,Srikakulam,9.16181E+11,sabharwalmamooty@tella.com,Male,"191
Bera Path, Bhimavaram 502334"
C065,Badal Vora,North Dumdum,9753056313,kbobal@hotmail.com,Male,"413
Ram Circle, Dhanbad-458174"
C066,Eshani Buch,Malegaon,7436178055,traval@ratta-bumb.net,Female,"209
Lad Street, Ludhiana-431855"
C067,Eva Sankaran,Anand,407409251,zdhar@gmail.com,Male,"538
Doctor Street, Machilipatnam 092427"
C068,Ritvik Garde,Kalyan-Dombivli,9.1372E+11,parinaaz89@varty-gaba.com,Male,"59/845, Kade Path, Barasat 294473"
C069,Hunar Tripathi,Madhyamgram,1440411271,gabainaaya@chhabra.info,Female,"H.No. 637
Walla Zila, Begusarai 750201"
C070,Emir Gokhale,Bhatpara,3859920805,emirlala@sethi-kari.com,Male,"49/10
Sengupta Marg, Madhyamgram 629284"
C071,Purab Sheth,Tiruppur,8410472405,suhana89@yahoo.com,Male,"H.No. 12
Dua Zila, Thrissur 303124"
C072,Charvi Karnik,Hyderabad,7573085232,mishti69@cheema.info,Male,"99/790
Subramanian Chowk, Bhagalpur 125926"
C073,Zeeshan Tailor,Parbhani,9.18038E+11,vardaniya27@yahoo.com,Male,"63/76, Karan Street
Kanpur 487263"
C074,Vanya Apte,Sultan Pur Majra,9.19183E+11,gdoshi@gmail.com,Female,"509, Shah Road, Medininagar 212721"
C075,Yashvi Bansal,Aligarh,9.14514E+11,indranilsastry@gmail.com,Female,"62, Dash Street
Pondicherry-945886"
C076,Oorja Dayal,Gaya,9.16937E+11,indrajit78@balay-ravi.com,Female,"49
Sami
Dibrugarh-768751"
C077,Gokul Ahluwalia,Panchkula,9.10414E+11,khalsatarini@bora.com,Female,"645, Grewal Street, Bardhaman-621911"
C078,Jivika Rajan,Bhubaneswar,3005266310,hunar08@hotmail.com,Female,"67
Cheema
Bardhaman 968232"
C079,Vedika Sankaran,Bhilai,7606054646,advikakrishnan@hotmail.com,Female,"89
Srivastava Circle
Solapur 947664"
C080,Mohanlal Garde,Bhopal,8448890371,shroffzaina@hotmail.com,Male,"80/990
Yogi Road
Anantapuram-218176"
C081,Kaira Ramachandran,Ratlam,4987395025,baradnirvi@yahoo.com,Male,"H.No. 717
Warrior Circle
Etawah-124622"
C082,Anya Chaudhari,Ahmednagar,813770782,subramanianojas@gmail.com,Female,"64/161, Kaur Ganj, Kadapa 257529"
C083,Aaryahi Sodhi,Raurkela Industrial Township,9.1269E+11,devanromil@hotmail.com,Male,"H.No. 256
Sami Street, Lucknow-283322"
C084,Anahita Shankar,Tiruchirappalli,9.12206E+11,jchada@hotmail.com,Male,"537
Bahl Nagar
Tinsukia 000008"
C085,Bhamini Johal,Raipur,9.13129E+11,prisha85@gaba.com,Male,"53/88, Soni Chowk
Etawah-422592"
C086,Ivana Amble,Purnia,9628920018,sundarampari@garg-khurana.biz,Female,"54/216, Tak Ganj
Mangalore 180959"
C087,Rania Bhatt,North Dumdum,2112404207,dishanithaker@dey-choudhry.info,Female,"H.No. 782
Dey Circle
Jalna 640789"
